'id_car_generation','id_car_model','name','year_begin','year_end','date_create','date_update','id_car_type'
'750','753','9 generation','2012','2016','1403647033','1500583335','1'
'753','753','7 generation','2002','2006','1403647033','1463241439','1'
'757','753','3 generation',NULL,NULL,'1403647033','1463241458','1'
'759','759','5 generation','2008','2011','1403647056','1463241486','1'
'760','759','5 generation [restyling]','2011','2018','1403647056','1516474758','1'
'761','759','4 generation [restyling]','2005','2008','1403647056','1463241490','1'
'762','759','2 generation','1986','1994','1403647056','1463241488','1'
'763','759','1 generation',NULL,NULL,'1403647056','1463241488','1'
'768','761','9 generation [restyling]','2013','2018','1403647084','1516474766','1'
'770','761','9 generation','2012','2015','1403647084','1479515327','1'
'771','761','8 generation','2005','2008','1403647084','1463241508','1'
'772','761','7 generation','2000','2005','1403647084','1463241519','1'
'773','761','6 generation','1995','2001','1403647084','1463241524','1'
'774','761','5 generation','1991','1997','1403647084','1463241528','1'
'776','761','2 generation',NULL,NULL,'1403647084','1463241537','1'
'778','763','4 generation','2012','2015','1403647093','1463241549','1'
'779','763','3 generation','2006','2009','1403647093','1497997706','1'
'780','763','2 generation','2002','2004','1403647093','1497997707','1'
'781','763','1 generation','1995','1999','1403647093','1463241553','1'
'782','764','3 generation','1992','1999','1403647096','1463241555','1'
'783','764','2 generation','1987','1992','1403647096','1463241556','1'
'784','764','1 generation','1983','1987','1403647096','1463241557','1'
'785','767','1 generation [restyling]','2012','2015','1403647109','1479515375','1'
'786','767','1 generation','2009','2012','1403647109','1463241564','1'
'787','768','2 generation','1997','2000','1403647112','1463241603','1'
'788','768','1 generation','1992','1996','1403647112','1463241604','1'
'789','770','1 generation [restyling]','2006','2008','1403647118','1463241609','1'
'790','770','1 generation','2003','2006','1403647118','1463241610','1'
'791','774','2 generation','2007','2010','1403647217','1479515392','1'
'792','774','1 generation','2001','2007','1403647217','1463241625','1'
'794','778','2 generation','2009','2011','1403647230','1463241663','1'
'795','778','1 generation','1999','2006','1403647230','1463241663','1'
'796','779','5 generation','2007','2010','1403647233','1463241665','1'
'797','779','4 generation','2003','2005','1403647233','1463241667','1'
'798','779','3 generation','1998','2003','1403647233','1463241668','1'
'799','779','2 generation','1995','1998','1403647233','1463241669','1'
'800','779','1 generation','1989','1995','1403647233','1463241669','1'
'801','780','4 generation','2001','2004','1403647237','1463241672','1'
'802','780','3 generation','1993','1995','1403647237','1463241677','1'
'803','780','2 generation','1989','1993','1403647237','1463241678','1'
'804','780','1 generation','1985','1989','1403647237','1463241679','1'
'805','782','2 generation','2007','2011','1403647269','1463241684','1'
'806','782','1 generation','2001','2004','1403647269','1463241685','1'
'807','783','4 generation','2004','2008','1403647272','1463241688','1'
'808','783','3 generation','1996','2004','1403647272','1463241689','1'
'810','783','2 generation','1990','1996','1403647272','1463241690','1'
'811','784','5 generation','2008','2010','1403647275','1463241694','1'
'812','784','4 generation','2003','2006','1403647275','1463241697','1'
'813','784','3 generation','1998','2001','1403647275','1463241699','1'
'819','790','4 generation','2008','2013','1403647297','1526898374','1'
'820','790','3 generation','2003','2007','1403647297','1463241729','1'
'821','790','2 generation','1998','2003','1403647297','1463241733','1'
'822','790','1 generation','1994','1999','1403647297','1463241734','1'
'823','792','2 generation','2006','2010','1403647329','1463241739','1'
'824','792','1 generation','1996','2006','1403647329','1463241739','1'
'825','793','2 generation','1997','2002','1403647332','1526898384','1'
'826','793','1 generation','1993','1997','1403647332','1463241742','1'
'827','794','2 generation','2008','2011','1403647336','1463241744','1'
'828','794','1 generation','2002','2006','1403647336','1505760175','1'
'829','795','5 generation','1996','2001','1403647339','1463241747','1'
'830','795','4 generation','1991','1996','1403647339','1463241749','1'
'831','795','3 generation',NULL,NULL,'1403647339','1463241749','1'
'832','795','2 generation',NULL,NULL,'1403647339','1463241750','1'
'833','795','1 generation',NULL,NULL,'1403647339','1463241751','1'
'834','801','2 generation','1998','2003','1403647383','1463241786','1'
'835','801','1 generation','1995','1998','1403647383','1463241787','1'
'836','803','4 generation','2009','2012','1403647390','1463241791','1'
'837','803','3 generation','2005','2007','1403647390','1526898400','1'
'838','803','2 generation','2001','2005','1403647390','1463241794','1'
'839','803','1 generation','1996','2001','1403647390','1463241795','1'
'840','804','2 generation','2006','2009','1403647394','1463241798','1'
'841','804','1 generation','2000','2003','1403647394','1526898404','1'
'902','862','2 generation [restyling]','2011','2013','1403647808','1524511904','1'
'903','862','2 generation','2008','2012','1403647808','1495498493','1'
'904','862','1 generation','2002','2006','1403647808','1508606142','1'
'909','864','4 generation [restyling]','2007','2013','1403647814','1463242150','1'
'910','864','4 generation','2006','2010','1403647814','1463242150','1'
'911','867','Y51','2010','2013','1403647827','1463242155','1'
'912','867','Y50','2004','2008','1403647827','1524511916','1'
'913','867','Y34','2002','2005','1403647827','1526898536','1'
'914','867','F31','1989','1992','1403647827','1524511918','1'
'915','868','3 generation','2001','2006','1403647830','1463242161','1'
'916','868','2 generation','1996','2001','1403647830','1463242162','1'
'917','868','1 generation','1989','1996','1403647830','1463242163','1'
'920','871','3 generation','2010','2013','1403647864','1463242167','1'
'921','875','Z62 [restyling]','2014','2018','1403647880','1516475105','1'
'922','875','Z62','2013','2014','1403647880','1463242205','1'
'5613','762','HW','1988','1995','1409172594','1463241546','1'
'5615','785','1 generation [2 restyling]','2000','2001','1409172620','1463241705','1'
'5622','870','CV37','2016','2018','1409172734','1516475084','1'
'5834','774','3 generation','2013','2018','1411936581','1516474836','1'
