make_id,make_display,make_is_common,make_country,make_year
"abarth","Abarth","0","Italy",1951
"ac","AC","0","UK",1948
"acura","Acura","1","USA",1986
"alfa-romeo","Alfa Romeo","1","Italy",1941
"allard","Allard","0","UK",1946
"alpina","Alpina","0","UK",1973
"alpine","Alpine","0","Germany",1955
"alvis","Alvis","0","UK",1945
"amc","AMC","0","USA",1968
"ariel","Ariel","0","UK",2000
"armstrong-siddeley","Armstrong Siddeley","0","UK",1945
"ascari","Ascari","0","UK",1992
"aston-martin","Aston Martin","1","UK",1941
"audi","Audi","1","Germany",1966
"austin","Austin","0","UK",1941
"austin-healey","Austin-Healey","0","UK",1952
"autobianchi","Autobianchi","0","Italy",1957
"auverland","Auverland","0","France",1990
"avanti","Avanti","0","USA",1965
"beijing","Beijing","0","China",1964
"bentley","Bentley","1","UK",1941
"berkeley","Berkeley","0","UK",1956
"bitter","Bitter","0","Germany",1973
"bizzarrini","Bizzarrini","0","Italy",1964
"bmw","BMW","1","Germany",1949
"brilliance","Brilliance","0","China",2009
"bristol","Bristol","0","UK",1946
"bugatti","Bugatti","1","Italy",1941
"buick","Buick","1","USA",1941
"cadillac","Cadillac","1","USA",1941
"caterham","Caterham","0","UK",1985
"checker","Checker","0","USA",1964
"chevrolet","Chevrolet","1","USA",1946
"chrysler","Chrysler","1","USA",1941
"citroen","Citroen","1","France",1941
"dacia","Dacia","1","Romania",2002
"daewoo","Daewoo","1","South Korea",1982
"daf","DAF","0","Netherlands",1959
"daihatsu","Daihatsu","1","Japan",1951
"daimler","Daimler","0","UK",1946
"datsun","Datsun","1","Japan",1966
"de-tomaso","De Tomaso","0","Italy",1965
"dkw","DKW","0","Germany",1941
"dodge","Dodge","1","USA",1942
"donkervoort","Donkervoort","0","Netherlands",1983
"eagle","Eagle","1","USA",1988
"fairthorpe","Fairthorpe","0","UK",1955
"ferrari","Ferrari","1","Italy",1947
"fiat","Fiat","1","Italy",1941
"fisker","Fisker","1","USA",2011
"ford","Ford","1","USA",1941
"gaz","GAZ","0","Russia",1941
"geely","Geely","0","China",2008
"ginetta","Ginetta","0","UK",1960
"gmc","GMC","1","USA",1956
