'id_car_model','id_car_make','name','date_create','date_update','id_car_type'
'753','76','Accord','1399005020','1472591352','1'
'754','76','Airwave','1399005020','1472591353','1'
'755','76','Ascot','1399005020','1472591353','1'
'756','76','Avancier','1399005020','1472591463','1'
'757','76','Beat','1399005020','1524672421','1'
'758','76','Capa','1399005020','1472591383','1'
'759','76','City','1399005020','1472591384','1'
'761','76','Civic','1399005020','1472591384','1'
'762','76','Concerto','1399005020','1472591384','1'
'763','76','CR-V','1399005020','1472591385','1'
'764','76','CR-X','1399005020','1472591385','1'
'765','76','CR-Z','1399005020','1472591394','1'
'766','76','Crossroad','1399005020','1472591395','1'
'767','76','Crosstour','1399005020','1472591395','1'
'768','76','Domani','1399005020','1472591395','1'
'769','76','Edix','1399005020','1472591396','1'
'770','76','Element','1399005020','1472591463','1'
'771','76','Elysion','1399005020','1472591464','1'
'772','76','FCX Clarity','1399005020','1524672424','1'
'773','76','Fit Aria','1399005020','1472591464','1'
'774','76','Fit','1399005020','1472591464','1'
'775','76','FR-V','1399005020','1472591465','1'
'776','76','Freed','1399005020','1472591465','1'
'777','76','HR-V','1399005020','1472591465','1'
'778','76','Insight','1399005020','1472591466','1'
'779','76','Inspire','1399005020','1472591466','1'
'780','76','Integra','1399005020','1472591583','1'
'781','76','Integra SJ','1399005020','1524672425','1'
'782','76','Jazz','1399005020','1472591488','1'
'783','76','Legend','1399005020','1472591488','1'
'784','76','Life','1399005020','1472591488','1'
'785','76','Logo','1399005020','1472591489','1'
'786','76','MDX','1399005020','1524672426','1'
'787','76','Mobilio','1399005020','1472591489','1'
'788','76','NSX','1399005020','1472591489','1'
'790','76','Odyssey','1399005020','1472591490','1'
'791','76','Orthia','1399005020','1472591490','1'
'792','76','Partner','1399005020','1472591493','1'
'793','76','Passport','1399005020','1472591494','1'
'794','76','Pilot','1399005020','1472591494','1'
'795','76','Prelude','1399005021','1472591494','1'
'796','76','Quint','1399005021','1524672428','1'
'797','76','Rafaga','1399005021','1472591495','1'
'798','76','Ridgeline','1399005021','1472591495','1'
'799','76','S-MX','1399005021','1472591583','1'
'800','76','S2000','1399005021','1472591584','1'
'801','76','Saber','1399005021','1472591584','1'
'802','76','Shuttle','1399005021','1472591584','1'
'803','76','Stepwgn','1399005021','1472591585','1'
'804','76','Stream','1399005021','1472591585','1'
'805','76','That''s','1399005021','1472591588','1'
'806','76','Today','1399005021','1472591589','1'
'807','76','Torneo','1399005021','1472591589','1'
'808','76','Vamos','1399005021','1472591598','1'
'809','76','Vigor','1399005021','1472591599','1'
'810','76','Z','1399005021','1472591599','1'
'811','76','Zest','1399005021','1472591703','1'
'861','80','EX-Series','1399005025','1472591839','1'
'862','80','FX-Series','1399005025','1472591839','1'
'864','80','G-Series','1399005025','1472591943','1'
'865','80','J30','1399005025','1472591863','1'
'866','80','JX-Series','1399005025','1472591864','1'
'867','80','M-Series','1399005025','1472591864','1'
'868','80','Q45','1399005025','1472591867','1'
'869','80','Q50','1399005025','1472591868','1'
'870','80','Q60','1399005025','1472591868','1'
'871','80','QX-Series','1399005025','1472591871','1'
'872','80','QX50','1399005025','1472591872','1'
'873','80','QX60','1399005025','1472591872','1'
'874','80','QX70','1399005025','1472591875','1'
'875','80','QX80','1399005025','1472591943','1'
'2112','80','Q70','1401391214','1472595970','1'
'2249','80','Q40','1406652797','1524672444','1'
'19343','80','Q30','1443121589','1474066225','1'
'19404','76','Acty','1445472672','1524672420','1'
'19516','80','QX30','1448492069','1474066287','1'
'19570','76','Ascot Innova','1452947914','1472681108','1'
'20153','76','1300','1463096545','1524672420','1'
'20154','76','145','1463096545','1524672420','1'
'20155','76','Amaze','1463096545','1524672421','1'
'20156','76','Ballade','1463096545','1524672421','1'
'20157','76','Brio','1463096545','1524672421','1'
'20158','76','Ciimo','1463096545','1524672421','1'
'20159','76','Crider','1463096545','1524672422','1'
'20160','76','Fit Shuttle','1463096545','1472682141','1'
'20161','76','Lagreat','1463096545','1524672426','1'
'20162','76','Mobilio Spike','1463096545','1472682142','1'
'20163','76','MR-V','1463096545','1524672427','1'
'20164','76','N360','1463096545','1524672427','1'
'20165','76','N600','1463096545','1524672427','1'
'20166','76','N Box','1463096545','1524672427','1'
'20167','76','N-One','1463096545','1524672427','1'
'20168','76','Quintet','1463096545','1524672429','1'
'20169','76','S500','1463096545','1524672429','1'
'20170','76','S600','1463096545','1524672429','1'
'20171','76','S800','1463096545','1524672430','1'
'20172','76','Spirior','1463096545','1524672430','1'
'20214','80','I-Series','1463096550','1472682248','1'
'22490','76','Jade','1529792273',NULL,'1'
