'id_car_option','name','id_parent','date_create','date_update','id_car_type'
'2','Power steering','1','1464484023','1518975461','1'
'3','Steering column adjustment tilt','1','1464484023','1518975461','1'
'4','Steering column adjustment on the flight','1','1464484023','1518975461','1'
'5','Rain sensors and light','1','1464484023','1518975461','1'
'6','Headlight washers','1','1464484023','1518975461','1'
'7','Electric rear Windows','1','1464484023','1518975461','1'
'9','Mirrors','1','1464484023','1518975461','1'
'12','Climate control','11','1464484023','1518975461','1'
'13','Heated windshield','11','1464484023','1518975461','1'
'14','Heated side mirrors','11','1464484023','1518975461','1'
'15','Heated front seats','11','1464484023','1518975461','1'
'16','A cooled glove box','11','1464484023','1518975461','1'
'18','On-Board computer','17','1464484023','1518975461','1'
'19','The audio control on the steering wheel','17','1464484023','1518975461','1'
'20','6 speakers','17','1464484023','1518975461','1'
'21','CD player','17','1464484023','1518975461','1'
'22','Support MP3','17','1464484023','1518975461','1'
'25','Immobilizer','23','1464484023','1518975461','1'
'27','Airbag driver','26','1464484023','1518975462','1'
'28','The passenger airbag','26','1464484023','1518975462','1'
'29','Airbags front side','26','1464484023','1518975463','1'
'30','Airbag curtain type','26','1464484023','1518975289','1'
'31','Mount for child seat ISOFIX','26','1464484023','1518975463','1'
'33','Anti-lock brakes (ABS)','32','1464484023','1518975463','1'
'34','Stability program (ESP)','32','1464484023','1518975463','1'
'35','The system of distribution of brake efforts','32','1464484023','1518975463','1'
'36','Cruise control','32','1464484023','1518975463','1'
'37','Parking sensors rear','32','1464484023','1518975463','1'
'39','Alloy wheels','38','1464484023','1518975463','1'
'40','Roof rails','38','1464484023','1518975463','1'
'41','Body painting metallic','38','1464484023','1518975463','1'
'44','Fog lights','43','1464484023','1518975463','1'
'47','Fabric upholstery','46','1464484023','1518975461','1'
'48','Leather steering wheel and gearshift knob','46','1464484023','1518975461','1'
'57','Side mirrors in body color','38','1464484024','1518975464','1'
'59','Door handles in body color','38','1464484024','1518975464','1'
'70','Rain sensor','1','1464484025','1518975464','1'
'78','Xenon headlights','43','1464484026','1518975464','1'
'79','Body painting pearl','38','1464484027','1518975464','1'
'80','Electric driver''s seat','1','1464484027','1518975464','1'
'81','Electric passenger seat','1','1464484027','1518975464','1'
'82','CD changer','17','1464484027','1518975464','1'
'83','Communication system Bluetooth','17','1464484027','1518975464','1'
'85','Bi-xenon headlights','43','1464484027','1518975464','1'
'86','Leather upholstery','46','1464484027','1518975464','1'
'96','Chrome exhaust tip','38','1464484030','1518975464','1'
'98','Steering column adjustment for height','1','1464484033','1518975463','1'
