'id_car_option_value','id_car_option','id_car_equipment','is_base','date_create','date_update','id_car_type'
'17476','2','282','1','1464484345','1464484345','1'
'17477','3','282','1','1464484345','1464484345','1'
'17478','977','282','1','1464484345','1464484345','1'
'17479','978','282','1','1464484345','1464484345','1'
'17480','979','282','1','1464484345','1464484345','1'
'17481','70','282','1','1464484345','1464484345','1'
'17482','980','282','1','1464484345','1464484345','1'
'17483','981','282','1','1464484345','1464484345','1'
'17484','982','282','1','1464484345','1464484345','1'
'17485','759','282','1','1464484345','1464484345','1'
'17486','983','282','1','1464484345','1464484345','1'
'17487','984','282','1','1464484345','1464484345','1'
'17488','985','282','1','1464484345','1464484345','1'
'17489','986','282','1','1464484345','1464484345','1'
'17490','614','282','1','1464484345','1464484345','1'
'17491','987','282','1','1464484345','1464484345','1'
'17492','957','282','1','1464484345','1464484345','1'
'17493','156','282','1','1464484345','1464484345','1'
'17494','494','282','1','1464484345','1464484345','1'
'17495','988','282','1','1464484345','1464484345','1'
'17496','958','282','1','1464484345','1464484345','1'
'17497','989','282','1','1464484345','1464484345','1'
'17498','855','282','1','1464484345','1464484345','1'
'17499','990','282','1','1464484345','1464484345','1'
'17500','991','282','1','1464484345','1464484345','1'
'17501','992','282','1','1464484345','1464484345','1'
'17502','499','282','1','1464484345','1464484345','1'
'17503','253','282','1','1464484345','1464484345','1'
'17504','993','282','1','1464484345','1464484345','1'
'17505','13','282','1','1464484345','1464484345','1'
'17506','994','282','1','1464484345','1464484345','1'
'17507','995','282','1','1464484345','1464484345','1'
'17508','996','282','0','1464484345','1464845181','1'
'17509','997','282','0','1464484345','1464845182','1'
'17510','998','282','1','1464484345','1464484345','1'
'17511','999','282','1','1464484345','1464484345','1'
'17512','1000','282','1','1464484345','1464484345','1'
'17513','19','282','1','1464484345','1464484345','1'
'17514','1001','282','1','1464484346','1464484346','1'
'17515','1002','282','1','1464484346','1464484346','1'
'17516','143','282','1','1464484346','1464484346','1'
'17517','960','282','1','1464484346','1464484346','1'
'17518','1003','282','1','1464484346','1464484346','1'
'17519','83','282','1','1464484346','1464484346','1'
'17520','1004','282','1','1464484346','1464484346','1'
'17521','1005','282','0','1464484346','1464845182','1'
'17522','1006','282','0','1464484346','1464845182','1'
'17523','1007','282','0','1464484346','1464845182','1'
'17524','1008','282','0','1464484346','1464845182','1'
'17525','1009','282','0','1464484346','1464845182','1'
'17526','1010','282','1','1464484346','1464484346','1'
'17527','1011','282','1','1464484346','1464484346','1'
'17528','1012','282','1','1464484346','1464484346','1'
'17529','1013','282','1','1464484346','1464484346','1'
'17530','1014','282','1','1464484346','1464484346','1'
'17531','25','282','1','1464484346','1464484346','1'
'17532','1015','282','1','1464484346','1464484346','1'
'17533','1016','282','1','1464484346','1464484346','1'
'17534','1017','282','1','1464484346','1464484346','1'
'17535','1018','282','1','1464484346','1464484346','1'
'17536','213','282','1','1464484346','1464484346','1'
'17537','31','282','1','1464484346','1464484346','1'
'17538','1019','282','1','1464484346','1464484346','1'
'17539','1020','282','1','1464484346','1464484346','1'
'17540','339','282','1','1464484346','1464484346','1'
'17541','896','282','1','1464484346','1464484346','1'
'17542','1021','282','1','1464484346','1464484346','1'
'17543','185','282','1','1464484346','1464484346','1'
'17544','1022','282','1','1464484346','1464484346','1'
'17545','200','282','1','1464484346','1464484346','1'
'17546','218','282','1','1464484346','1464484346','1'
'17547','1023','282','1','1464484346','1464484346','1'
'17548','1024','282','1','1464484346','1464484346','1'
'17549','1025','282','1','1464484346','1464484346','1'
'17550','1026','282','1','1464484346','1464484346','1'
'17551','455','282','1','1464484346','1464484346','1'
'17552','409','282','1','1464484346','1464484346','1'
'17553','202','282','1','1464484346','1464484346','1'
'17554','36','282','1','1464484346','1464484346','1'
'17555','1027','282','1','1464484346','1464484346','1'
'17556','1028','282','1','1464484346','1464484346','1'
'17557','1029','282','1','1464484346','1464484346','1'
'17558','1030','282','1','1464484346','1464484346','1'
'17559','589','282','1','1464484346','1464484346','1'
'17560','1031','282','1','1464484346','1464484346','1'
'17561','1032','282','1','1464484346','1464484346','1'
'17562','1033','282','1','1464484346','1464484346','1'
'17563','1034','282','1','1464484346','1464484346','1'
'17564','1035','282','1','1464484346','1464484346','1'
'17565','1036','282','1','1464484346','1464484346','1'
'17566','945','282','1','1464484346','1464484346','1'
'17567','1037','282','1','1464484346','1464484346','1'
'17568','1038','282','1','1464484346','1464484346','1'
'17569','1039','282','1','1464484346','1464484346','1'
'17570','1040','282','1','1464484346','1464484346','1'
'17571','78','282','1','1464484346','1464484346','1'
'17573','130','282','1','1464484346','1464484346','1'
'17574','1041','282','1','1464484346','1464484346','1'
'17575','1042','282','1','1464484346','1464484346','1'
'17576','901','282','1','1464484346','1464484346','1'
'17577','232','282','1','1464484346','1464484346','1'
'17578','1043','282','1','1464484346','1464484346','1'
'17579','1044','282','1','1464484346','1464484346','1'
'17580','1045','282','1','1464484346','1464484346','1'
'17581','1046','282','1','1464484346','1464484346','1'
'17582','1047','282','1','1464484346','1464484346','1'
'17583','86','282','1','1464484346','1464484346','1'
